pl_name,hostname,k2_name,epic_hostname,default_flag,disposition,disp_refname,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.643528,0.000058,-0.000061,0,,,,,1.47,0.28,-0.37,0,,,,,,,,,,,,,,,,,,,,,,1,0.386,0.011,-0.012,0,1.32,0.072,-0.108,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.23,0.04,-0.05,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,9/5/19,2019-09,9/5/19
K2-146 b,K2-146,K2-146 b,EPIC 211924657,0,CONFIRMED,Hirano et al. 2018,2,Transit,2018,K2,Published Candidate,0,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,2.644259,0.000047,-0.000047,0,,,,,1.38,,,0,,,,,,,,,,,,,,,,,,,,,,1,0.3274,0.0167,-0.0167,0,,,,,<a refstr=LIBRALATO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1780L/abstract target=ref>Libralato et al. 2016</a>,,,,,,0.23,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,130.0266951,19.0923416,79.3002,0.478,-0.4723,16.7,0.2,-0.2,11.37,0.023,-0.023,14.9834,0.000523,-0.000523,5/18/17,2016-12,5/18/17
K2-72 b,K2-72,K2-72 b,EPIC 206209135,0,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,5.57739,0.00068,-0.00068,0,0.037,0.0047,-0.0047,0,0.75,0.2,-0.2,0,,,,,,,,,,,,,,5.4,3.2,-3.2,0,,,,,0,,,,,1.67,0.16,-0.16,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,5.05,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2016-09,7/18/16
K2-72 c,K2-72,K2-72 c,EPIC 206209135,0,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,15.1871,0.0032,-0.0032,0,0.0722,0.0091,-0.0091,0,0.86,0.22,-0.22,0,,,,,,,,,,,,,,1.41,0.85,-0.85,0,,,,,0,,,,,2.15,0.24,-0.24,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,5.05,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2016-09,7/18/16
K2-72 d,K2-72,K2-72 d,EPIC 206209135,0,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,7.7599,0.0014,-0.0014,0,0.0461,0.0058,-0.0058,0,0.73,0.2,-0.2,0,,,,,,,,,,,,,,3.5,2.1,-2.1,0,,,,,0,,,,,1.45,0.24,-0.24,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,5.05,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2016-09,7/18/16
K2-72 e,K2-72,K2-72 e,EPIC 206209135,0,CONFIRMED,Crossfield et al. 2016,4,Transit,2016,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,24.1669,0.0057,-0.0057,0,0.098,0.012,-0.012,0,0.82,0.22,-0.22,0,,,,,,,,,,,,,,0.76,0.46,-0.46,0,,,,,0,,,,,2.25,0.34,-0.34,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,3497,150,-150,0,0.23,0.06,-0.06,0,0.22,0.08,-0.08,0,,,,,,5.05,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,334.6227504,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,12/12/17,2016-09,7/18/16
K2-18 b,K2-18,K2-18 b,EPIC 201912552,0,CONFIRMED,Montet et al. 2015,2,Transit,2015,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,32.94171,0.0008,-0.00084,0,,,,,1.4,0.29,-0.18,0,,,,,,,,,,,,,,,,,,,,,,0,0.3098,0.0062,-0.0065,0,2.628,0.0552,-0.0672,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.25,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,172.560141,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,12.4154,0.000502,-0.000502,9/5/19,2019-09,9/5/19
K2-384 c,K2-384,K2-384 c,EPIC 220221272,0,CONFIRMED,Christiansen et al. 2022,5,Transit,2022,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.19525,0.00034,-0.00033,0,,,,,1.05,0.23,-0.35,0,,,,,,,,,,,,,,,,,,,,,,0,0.146,0.015,-0.017,0,1.272,0.168,-0.24,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.26,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4998403,0.7509701,82.6603,0.7023,-0.6908,16.12,0.2,-0.2,11.294,0.021,-0.021,15.0276,0.000667,-0.000667,9/5/19,2019-09,9/5/19
K2-384 d,K2-384,K2-384 d,EPIC 220221272,0,CONFIRMED,Christiansen et al. 2022,5,Transit,2022,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,6.6791,0.00049,-0.00049,0,,,,,1.1,0.23,-0.22,0,,,,,,,,,,,,,,,,,,,,,,0,0.169,0.013,-0.014,0,1.512,0.12,-0.168,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.26,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4998403,0.7509701,82.6603,0.7023,-0.6908,16.12,0.2,-0.2,11.294,0.021,-0.021,15.0276,0.000667,-0.000667,9/5/19,2019-09,9/5/19
K2-384 e,K2-384,K2-384 e,EPIC 220221272,0,CONFIRMED,Christiansen et al. 2022,5,Transit,2022,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,9.71601,0.00083,-0.0008,0,,,,,1.14,0.23,-0.19,0,,,,,,,,,,,,,,,,,,,,,,0,0.175,0.013,-0.013,0,1.992,0.144,-0.192,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.26,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20.4998403,0.7509701,82.6603,0.7023,-0.6908,16.12,0.2,-0.2,11.294,0.021,-0.021,15.0276,0.000667,-0.000667,9/5/19,2019-09,9/5/19
