kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11497958,K01422.01,Kepler-296 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.841636615,9.84E-06,-9.84E-06,135.92315,1.32E-03,-1.32E-03,0.026,0.405,-0.026,1.8734,0.0467,-0.0467,1.34E+03,3.70E+01,-3.70E+01,1.38,1.70E-01,-2.10E-01,446,,,9.38,3.49,-3.2,41.1,5,1,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
11497958,K01422.02,Kepler-296 d,CONFIRMED,CANDIDATE,1,0,0,0,0,19.85029495,5.53E-05,-5.53E-05,133.64933,2.16E-03,-2.16E-03,0.217,0.245,-0.217,2.8407,0.0741,-0.0741,1.61E+03,5.07E+01,-5.07E+01,1.52,1.90E-01,-2.30E-01,297,,,1.83,0.68,-0.62,34.4,5,2,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
11497958,K01422.03,Kepler-296 b,CONFIRMED,CANDIDATE,0.985,0,0,0,0,10.8644095,4.88E-05,-4.88E-05,131.12833,3.47E-03,-3.47E-03,0.763,0.015,-0.551,1.853,0.119,-0.119,7.49E+02,5.14E+01,-5.14E+01,1.14,1.50E-01,-1.70E-01,363,,,4.09,1.53,-1.39,16.8,5,3,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
11497958,K01422.04,Kepler-296 f,CONFIRMED,CANDIDATE,0.927,0,0,0,0,63.3354719,9.27E-04,-9.27E-04,162.6161,1.11E-02,-1.11E-02,0.029,0.422,-0.029,3.651,0.251,-0.251,9.83E+02,8.38E+01,-8.38E+01,1.18,1.50E-01,-1.80E-01,202,,,0.39,0.15,-0.13,13,5,5,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
11497958,K01422.05,Kepler-296 e,CONFIRMED,CANDIDATE,0.984,0,0,0,0,34.1420506,2.29E-04,-2.29E-04,136.03624,5.59E-03,-5.59E-03,0.105,0.334,-0.105,2.945,0.179,-0.179,7.88E+02,6.31E+01,-6.31E+01,1.06,1.30E-01,-1.60E-01,248,,,0.89,0.33,-0.3,13.3,5,4,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
7907423,K00899.01,Kepler-249 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,7.11373257,1.28E-05,-1.28E-05,174.32351,1.43E-03,-1.43E-03,0.334,0.117,-0.334,2.1764,0.0496,-0.0496,8.08E+02,2.05E+01,-2.05E+01,1.16,1.30E-01,-1.70E-01,429,,,8.01,2.66,-2.73,44.4,3,1,q1_q17_dr25_tce,3561,71,-89,4.855,0.055,-0.055,0.411,0.045,-0.06,296.98505,43.65852,15.234
7907423,K00899.02,Kepler-249 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.306551643,6.40E-06,-6.40E-06,134.37211,1.59E-03,-1.59E-03,0.001,0.43,-0.001,1.8177,0.0485,-0.0485,5.09E+02,1.56E+01,-1.56E+01,0.91,1.00E-01,-1.30E-01,554,,,22.19,7.37,-7.57,37.8,3,2,q1_q17_dr25_tce,3561,71,-89,4.855,0.055,-0.055,0.411,0.045,-0.06,296.98505,43.65852,15.234
7907423,K00899.03,Kepler-249 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,15.36845737,4.07E-05,-4.07E-05,147.38965,2.29E-03,-2.29E-03,0.115,0.32,-0.115,2.4714,0.069,-0.069,7.56E+02,2.64E+01,-2.64E+01,1.11,1.20E-01,-1.60E-01,332,,,2.86,0.95,-0.98,30.9,3,3,q1_q17_dr25_tce,3561,71,-89,4.855,0.055,-0.055,0.411,0.045,-0.06,296.98505,43.65852,15.234
9388479,K00936.01,Kepler-732 b,CONFIRMED,CANDIDATE,0.953,0,0,0,0,9.467821474,6.13E-06,-6.13E-06,178.415842,5.17E-04,-5.17E-04,0.081,0.261,-0.081,2.4327,0.0221,-0.0221,2.24E+03,1.98E+01,-1.98E+01,2.13,1.90E-01,-2.50E-01,407,,,6.47,1.81,-1.94,124.7,2,1,q1_q17_dr25_tce,3582,71,-89,4.807,0.05,-0.045,0.458,0.04,-0.055,283.73203,45.958771,15.073
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,0.704,0,0,0,0,0.893040969,4.61E-07,-4.61E-07,134.540342,4.18E-04,-4.18E-04,0.009,0.398,-0.009,1.0981,0.0159,-0.0159,7.42E+02,1.02E+01,-1.02E+01,1.24,1.00E-01,-1.50E-01,893,,,151.14,42.14,-45.33,87.8,2,2,q1_q17_dr25_tce,3582,71,-89,4.807,0.05,-0.045,0.458,0.04,-0.055,283.73203,45.958771,15.073
